MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
14:ae:db:38:99:3d,Oxana25,[WPA2-PSK-CCMP][ESS],10/12/2017 18:41,6,-90,31.89741447,34.81647161,103,9,WIFI
8c:59:c3:e9:8e:02,medina,[WPA2-PSK-CCMP][ESS][BLE],10/12/2017 18:41,2,-93,31.89741415,34.81647198,103,9,WIFI
06:ae:db:38:99:3d,BezeqFree,[WPA2-PSK-CCMP][ESS],10/12/2017 18:41,6,-90,31.89741399,34.81647175,103,9,WIFI
e0:ce:c3:8a:d4:45,Harazi,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS][BLE],10/12/2017 18:42,1,-29,31.89741338,34.81647162,103,10,WIFI
00:e0:20:6b:23:04,HaikuAndi,[WPA-PSK-TKIP][ESS],10/12/2017 18:42,1,-79,31.89741338,34.81647162,103,10,WIFI
c8:be:19:0e:b5:42,benraf1,[WPA2-PSK-CCMP][ESS],10/12/2017 18:42,3,-93,31.89741332,34.81647157,103,11,WIFI
00:23:cd:1c:4c:b0,www.cornet.co.il,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/12/2017 18:42,5,-88,31.89741317,34.81647154,103,11,WIFI
c4:12:f5:fd:53:c2,Claude,[WPA2-PSK-CCMP][ESS][BLE],10/12/2017 18:42,11,-92,31.89741277,34.81647121,103,10,WIFI
cc:b2:55:e8:1c:80,Bezeq-NGN_CCB255E81C7F,[ESS],10/12/2017 18:42,6,-90,31.89741188,34.81647065,103,10,WIFI
74:da:3b:81:69:bb,vered2.4,[WPA2-PSK-CCMP][ESS],10/12/2017 18:42,10,-91,31.89741141,34.8164703,103,9,WIFI
74:da:38:81:69:ba,vered2.4_2EX,[WPA2-PSK-CCMP][ESS],10/12/2017 18:42,10,-93,31.89741125,34.81647017,103,9,WIFI
80:1f:02:5d:a2:50,Rotman2,[WPA2-PSK-CCMP-preauth][ESS][BLE],10/12/2017 18:43,10,-89,31.89740996,34.81646984,103,9,WIFI
8c:59:c3:e8:d1:1b,david,[WPA2-PSK-CCMP][ESS][BLE],10/12/2017 18:43,52,-85,31.89740993,34.81646988,103,9,WIFI
52:12:f5:fd:53:c3,BezeqFree,[WPA2-PSK-CCMP][ESS][BLE],10/12/2017 18:43,11,-90,31.89740965,34.81646977,103,9,WIFI
ac:f1:df:9e:cd:41,Bamberger_Net,[WPA2-PSK-CCMP][ESS],10/12/2017 18:45,1,-91,31.89740525,34.81646857,103,9,WIFI
08:97:58:33:5c:aa,NIPPON_7069,[WPA-PSK-CCMP][WPS][ESS],10/12/2017 18:46,3,-80,31.89740514,34.8164688,103,9,WIFI
7c:03:4c:ff:3e:48,HOTBOX-ED6A,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/12/2017 18:46,11,-91,31.897405,34.81646877,103,9,WIFI
14:ae:db:a2:e3:0d,ortal123,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/12/2017 18:47,11,-93,31.89740306,34.81646858,103,9,WIFI
44:2c:05:ce:c5:fc,midr-cardvr-v1_midevc5fc,[WPA2-PSK-CCMP][ESS],10/12/2017 18:47,9,-89,31.89740305,34.81646857,103,9,WIFI
14:ae:db:c8:11:7d,Haymon2,[WPA2-PSK-CCMP][ESS],10/12/2017 18:48,11,-94,31.89740153,34.81646837,103,9,WIFI
06:ae:db:c8:11:7d,BezeqFree,[WPA2-PSK-CCMP][ESS],10/12/2017 18:49,11,-93,31.89740032,34.81646813,103,9,WIFI
ac:f1:df:9e:cd:41,Bamberger_Net,[WPA2-PSK-CCMP][ESS],10/12/2017 18:49,1,-86,31.8973998,34.81646809,103,9,WIFI
5c:70:a3:8b:ea:5c,G4_3529,[WPA-PSK-CCMP+TKIP][ESS],10/12/2017 18:52,6,-84,31.89739158,34.81646565,103,9,WIFI
98:86:b1:05:18:dd,AndroidAP,[ESS],10/12/2017 18:56,6,-81,31.89738816,34.81646321,103,9,WIFI
9e:5c:f9:56:d7:8f,Xperia_XA_e6be,[WPA2-PSK-CCMP][WPS][ESS],10/12/2017 18:57,6,-90,31.89738757,34.81646223,103,9,WIFI
1e:cd:e5:5c:23:f6,MEIZU_M3s,[WPS][ESS],10/12/2017 18:59,10,-84,31.8973863,34.81646175,103,9,WIFI
ac:f1:df:9e:fa:61,Tuvia,[WPA2-PSK-CCMP][ESS],10/12/2017 19:01,13,-83,31.89738499,34.81646057,103,10,WIFI
c4:12:f5:fd:53:c2,Claude,[WPA2-PSK-CCMP][ESS][BLE],10/12/2017 19:01,11,-87,31.89738499,34.81646057,103,10,WIFI
e0:ce:c3:8a:d4:45,Harazi,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS][BLE],10/12/2017 19:02,1,-46,31.89738423,34.81646034,103,9,WIFI
14:ae:db:3c:7c:d2,arye52,[WPA2-PSK-CCMP][ESS],10/12/2017 19:02,5,-87,31.89738423,34.81646034,103,9,WIFI
84:26:15:e9:95:a3,GAL,[WPA2-PSK-CCMP][WPS][ESS][BLE],10/12/2017 19:02,1,-80,31.89738423,34.81646034,103,9,WIFI
ac:f1:df:9e:fa:61,Tuvia,[WPA2-PSK-CCMP][ESS],10/12/2017 19:02,13,-86,31.89738423,34.81646034,103,9,WIFI
f8:e9:03:11:bc:09,BezeqNGN_008702_2.4GHz_1,[ESS][BLE],10/12/2017 19:02,6,-79,31.89738423,34.81646034,103,9,WIFI
42502_732_3859743,GOLANT,UNKNOWN;il,10/12/2017 19:02,0,-113,31.89738423,34.81646034,103,9,GSM
8c:59:c3:e8:d1:1b,david,[WPA2-PSK-CCMP][ESS][BLE],10/12/2017 19:02,52,-92,31.89738428,34.81646042,103,9,WIFI
c0:ac:54:f7:50:5a,Yarden,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/12/2017 19:02,6,-89,31.89738428,34.81646042,103,9,WIFI
64:d9:54:e5:68:e2,idolior_5GExt,[WPA2-PSK-CCMP][WPS][ESS],10/12/2017 19:02,44,-93,31.89738428,34.81646042,103,9,WIFI
14:af:db:3c:7c:d2,BezeqFree,[WPA2-PSK-CCMP][ESS],10/12/2017 19:02,5,-85,31.89738428,34.81646042,103,9,WIFI
14:ae:db:aa:74:72,hopfeld,[WPA2-PSK-CCMP][ESS],10/12/2017 19:02,2,-91,31.89738428,34.81646042,103,9,WIFI
e0:ce:c3:8a:d4:45,Harazi,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS][BLE],10/12/2017 19:02,1,-39,31.89738432,34.81646046,103,9,WIFI
cc:b2:55:e8:17:a8,Bezeq-NGN_E817A7,[ESS],10/12/2017 19:02,6,-89,31.89738432,34.81646046,103,9,WIFI
cc:b2:55:e8:17:a8,Bezeq-NGN_E817A7,[ESS],10/12/2017 19:02,6,-80,31.89738432,34.81646043,103,10,WIFI
64:d9:54:e5:68:e3,idolior_2GExt,[WPA2-PSK-CCMP][WPS][ESS],10/12/2017 19:02,1,-82,31.89738432,34.81646043,103,10,WIFI
20:0c:c8:11:5b:ec,Giovanna123,[WPA2-PSK-CCMP][WPS][ESS][BLE],10/12/2017 19:02,1,-86,31.89738432,34.81646043,103,10,WIFI
e0:ce:c3:8b:a6:29,porat,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS][BLE],10/12/2017 19:02,1,-87,31.89738432,34.81646043,103,10,WIFI
7c:b7:33:2b:a7:c6,Nastya,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS][BLE],10/12/2017 19:02,6,-87,31.89738435,34.8164605,103,10,WIFI
ee:94:f6:87:a8:31,vilensky_guest,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/12/2017 19:02,13,-90,31.8973843,34.81646051,103,10,WIFI
00:e0:20:6b:23:04,HaikuAndi,[WPA-PSK-TKIP][ESS],10/12/2017 19:02,1,-87,31.8973843,34.81646051,103,10,WIFI
08:97:58:33:d0:56,NIPPON_2329,[WPA-PSK-CCMP][WPS][ESS],10/12/2017 19:02,2,-80,31.89738438,34.81646064,103,10,WIFI
74:d0:2b:5e:8b:e8,Virus,[WPA2-PSK-CCMP][ESS],10/12/2017 19:02,6,-84,31.89738438,34.81646064,103,10,WIFI
8c:59:c3:e8:d1:1a,david,[WPA2-PSK-CCMP][ESS][BLE],10/12/2017 19:02,1,-82,31.89738431,34.8164606,103,10,WIFI
74:da:38:81:66:bd,Haimon2,[WPA2-PSK-CCMP][ESS],10/12/2017 19:03,2,-86,31.89738423,34.81646067,103,9,WIFI
c0:ac:54:f7:50:5a,Yarden,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/12/2017 19:03,6,-83,31.89738417,34.81646069,103,9,WIFI
7c:b7:33:2b:a7:c6,Nastya,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS][BLE],10/12/2017 19:03,6,-82,31.89738387,34.81646063,103,9,WIFI
02:c6:b4:00:16:a2,HotSpot-B40016A2,[WPS][ESS],10/12/2017 19:03,6,-82,31.89738387,34.81646063,103,9,WIFI
74:da:38:81:66:bd,Haimon2,[WPA2-PSK-CCMP][ESS],10/12/2017 19:03,2,-81,31.89738359,34.81646057,103,9,WIFI
f8:e9:03:10:f1:89,sod-moriah-Adin_2.4,[WPA2-PSK-CCMP][ESS][BLE],10/12/2017 19:04,6,-92,31.89738316,34.81646055,103,9,WIFI
14:ae:db:52:41:85,riva,[WPA2-PSK-CCMP][ESS],10/12/2017 19:04,11,-90,31.89738287,34.81646054,103,9,WIFI
30:46:9a:2c:f5:2c,Bezeq_18037,[WPS][ESS],10/12/2017 19:04,6,-83,31.8973827,34.81646046,103,9,WIFI
ac:f1:df:9e:fa:61,Tuvia,[WPA2-PSK-CCMP][ESS],10/12/2017 19:43,13,-70,31.89734849,34.81638882,104,5,WIFI
64:d9:54:e5:68:e2,idolior_5GExt,[WPA2-PSK-CCMP][WPS][ESS],10/12/2017 19:43,44,-73,31.89734849,34.81638882,104,5,WIFI
14:ae:db:38:99:3d,Oxana25,[WPA2-PSK-CCMP][ESS],10/12/2017 19:43,6,-83,31.89734849,34.81638882,104,5,WIFI
40:b0:34:60:e6:1f,DIRECT-1E-HPDeskJet3830series,[WPA2-PSK-CCMP][WPS][ESS][P2P],10/12/2017 19:43,6,-83,31.89734849,34.81638882,104,5,WIFI
a0:8c:fd:01:eb:bb,DIRECT-3F-HPDeskJet3830series,[WPA2-PSK-CCMP][WPS][ESS],10/12/2017 19:43,11,-84,31.89734849,34.81638882,104,5,WIFI
34:ce:00:4a:c4:d8,Xiaomi_C4D7_3B28,[WPS][ESS][BLE],10/12/2017 19:43,4,-87,31.89734849,34.81638882,104,5,WIFI
14:af:db:3c:7c:d2,BezeqFree,[WPA2-PSK-CCMP][ESS],10/12/2017 19:43,5,-71,31.89737074,34.81639472,100,4,WIFI
14:ae:db:3c:7c:d2,arye52,[WPA2-PSK-CCMP][ESS],10/12/2017 19:43,5,-73,31.89737074,34.81639472,100,4,WIFI
7c:b7:33:2b:a7:c6,Nastya,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS][BLE],10/12/2017 19:43,6,-74,31.89737074,34.81639472,100,4,WIFI
8c:59:c3:e9:8e:02,medina,[WPA2-PSK-CCMP][ESS][BLE],10/12/2017 19:43,2,-84,31.89737074,34.81639472,100,4,WIFI
6c:b0:ce:38:4e:4d,ana_5,[WPA2-PSK-CCMP][WPS][ESS][BLE],10/12/2017 19:43,40,-88,31.89737074,34.81639472,100,4,WIFI
8c:59:c3:e9:8e:03,medina,[WPA2-PSK-CCMP][ESS][BLE],10/12/2017 19:43,52,-90,31.89737074,34.81639472,100,4,WIFI
14:ae:db:3c:7c:d5,arye52_5,[WPA2-PSK-CCMP][ESS],10/12/2017 19:43,48,-91,31.89737074,34.81639472,100,4,WIFI
6c:b0:ce:35:a9:a0,zenit,[WPA2-PSK-CCMP][WPS][ESS][BLE],10/12/2017 19:43,1,-85,31.89737074,34.81639472,100,4,WIFI
e0:ce:c3:f0:08:8a,HOTFiber,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS][BLE],10/12/2017 19:43,12,-86,31.89737074,34.81639472,100,4,WIFI
6c:b0:ce:35:a9:a1,zenit_5,[WPA2-PSK-CCMP][WPS][ESS][BLE],10/12/2017 19:43,60,-92,31.89737074,34.81639472,100,4,WIFI
14:ae:db:56:06:15,BEZEQINT-0611,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/12/2017 19:43,11,-90,31.89737074,34.81639472,100,4,WIFI
9c:d6:43:21:d3:ef,Bezeq-B,[WEP][ESS],10/12/2017 19:43,6,-86,31.89737074,34.81639472,100,4,WIFI
74:da:38:83:03:a0,edimaxEXT.setupa0,[WPS][ESS][BLE],10/12/2017 19:43,2,-77,31.89738702,34.81639766,95,4,WIFI
34:ce:00:4a:c4:d8,Xiaomi_C4D7_3B28,[WPS][ESS][BLE],10/12/2017 19:43,4,-77,31.89738702,34.81639766,95,4,WIFI
7c:b7:33:2b:a7:c6,Nastya,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS][BLE],10/12/2017 19:43,6,-69,31.89738702,34.81639766,95,4,WIFI
8c:59:c3:e9:8e:02,medina,[WPA2-PSK-CCMP][ESS][BLE],10/12/2017 19:43,2,-75,31.89738702,34.81639766,95,4,WIFI
8c:59:c3:e9:8e:03,medina,[WPA2-PSK-CCMP][ESS][BLE],10/12/2017 19:43,52,-72,31.89738702,34.81639766,95,4,WIFI
14:ae:db:3c:7c:d5,arye52_5,[WPA2-PSK-CCMP][ESS],10/12/2017 19:43,48,-86,31.89738702,34.81639766,95,4,WIFI
6c:b0:ce:35:a9:a1,zenit_5,[WPA2-PSK-CCMP][WPS][ESS][BLE],10/12/2017 19:43,60,-87,31.89738702,34.81639766,95,4,WIFI
9c:d6:43:21:d3:ef,Bezeq-B,[WEP][ESS],10/12/2017 19:43,6,-79,31.89738702,34.81639766,95,4,WIFI
64:d9:54:e5:68:e3,idolior_2GExt,[WPA2-PSK-CCMP][WPS][ESS],10/12/2017 19:43,1,-68,31.89738702,34.81639766,95,4,WIFI
40:65:a3:29:81:73,Ortal123,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/12/2017 19:43,6,-75,31.89738702,34.81639766,95,4,WIFI
d0:84:b0:ff:53:09,HOTFiber-5B60,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/12/2017 19:43,10,-76,31.89738702,34.81639766,95,4,WIFI
70:5a:0f:b2:b5:49,DIRECT-48-HPDeskJet4670series,[WPA2-PSK-CCMP][WPS][ESS][P2P],10/12/2017 19:43,1,-80,31.89738702,34.81639766,95,4,WIFI
74:88:8b:fd:6d:08,idolior,[WPA2-PSK-CCMP][ESS][BLE],10/12/2017 19:43,1,-81,31.89738702,34.81639766,95,4,WIFI
a0:ab:1b:55:6f:98,Daniel_Zohar,[WPA2-PSK-CCMP][ESS][BLE],10/12/2017 19:43,4,-81,31.89738702,34.81639766,95,4,WIFI
10:5a:f7:01:8a:5a,aimog_5,[WPA2-PSK-CCMP][ESS][BLE],10/12/2017 19:43,52,-85,31.89738702,34.81639766,95,4,WIFI
14:ae:db:ca:7e:dd,DanArie_5,[WPA2-PSK-CCMP][ESS],10/12/2017 19:43,48,-87,31.89738702,34.81639766,95,4,WIFI
3c:1e:04:08:85:25,soneva5,[WPA2-PSK-CCMP][ESS][BLE],10/12/2017 19:43,48,-91,31.89738702,34.81639766,95,4,WIFI
70:62:b8:34:82:2e,BezeqNGN_007020_5GHz_1,[ESS][BLE],10/12/2017 19:43,48,-77,31.89738702,34.81639766,95,4,WIFI
f8:e9:03:11:bc:0a,BezeqNGN_008702_5GHz_1,[ESS][BLE],10/12/2017 19:43,48,-82,31.89738702,34.81639766,95,4,WIFI
74:da:38:83:03:a1,edimaxEXT.setup5Ga1,[WPS][ESS][BLE],10/12/2017 19:43,52,-91,31.89738702,34.81639766,95,4,WIFI
64:d9:54:e5:68:e2,idolior_5GExt,[WPA2-PSK-CCMP][WPS][ESS],10/12/2017 19:43,44,-67,31.89735872,34.81643079,86,3,WIFI
8c:59:c3:e9:8e:02,medina,[WPA2-PSK-CCMP][ESS][BLE],10/12/2017 19:43,2,-70,31.89735872,34.81643079,86,3,WIFI
c0:ac:54:f7:50:5a,Yarden,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/12/2017 19:43,6,-73,31.89735872,34.81643079,86,3,WIFI
74:da:38:81:66:bd,Haimon2,[WPA2-PSK-CCMP][ESS],10/12/2017 19:43,2,-74,31.89735872,34.81643079,86,3,WIFI
00:90:8f:2a:6d:34,SuperBox2013,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS][BLE],10/12/2017 19:43,6,-81,31.89735872,34.81643079,86,3,WIFI
14:ae:db:b1:c3:dd,Hila2704,[WPA2-PSK-CCMP][ESS],10/12/2017 19:43,6,-82,31.89735872,34.81643079,86,3,WIFI
78:32:1b:07:7c:2c,DAP-1325,[WPA2-PSK-CCMP][ESS][BLE],10/12/2017 19:43,9,-82,31.89735872,34.81643079,86,3,WIFI
62:45:b1:25:c9:04,,[WEP][ESS],10/12/2017 19:43,36,-77,31.89735872,34.81643079,86,3,WIFI
WigleWifi-1.4,appRelease=2.26,model=SM-G900F,release=6.0.1,device=klte,display=MMB29M.G900FXXU1CPI8,board=MSM8974,brand=samsung,,,
